pseudoID,course_data,course_num,year,quarter_num,quarter_text,section
A124603984192,20171-38103-04,38103,2017,1,Winter,04
A1246236483,20164-30000-07,30000,2016,4,Autumn,07
A1246236483,20164-33001-06,33001,2016,4,Autumn,06
A1246236483,20164-34705-01,34705,2016,4,Autumn,01
A1246236483,20171-34102-02,34102,2017,1,Winter,02
A1246236483,20171-37000-01,37000,2017,1,Winter,01
A1246236483,20171-39001-01,39001,2017,1,Winter,01
A124763696378,20164-33002-01,33002,2016,4,Autumn,01
A124763696378,20164-35125-01,35125,2016,4,Autumn,01
A124763696378,20164-41000-04,41000,2016,4,Autumn,04
A124763696378,20164-42001-01,42001,2016,4,Autumn,01
A124763696378,20171-30118-01,30118,2017,1,Winter,01
A124763696378,20171-35215-01,35215,2017,1,Winter,01
A124763696378,20171-40205-01,40205,2017,1,Winter,01
A12679432028,20164-30000-03,30000,2016,4,Autumn,03
A12679432028,20164-33001-06,33001,2016,4,Autumn,06
A12679432028,20164-41000-81,41000,2016,4,Autumn,81
A12679432028,20171-30118-02,30118,2017,1,Winter,02
A12679432028,20171-35000-01,35000,2017,1,Winter,01
A12679432028,20171-35214-01,35214,2017,1,Winter,01
A1310744067672,20164-33101-81,33101,2016,4,Autumn,81
A1310744067672,20164-38001-02,38001,2016,4,Autumn,02
A1310744067672,20164-38103-03,38103,2016,4,Autumn,03
A1310744067672,20171-30130-01,30130,2017,1,Winter,01
A1310744067672,20171-35000-01,35000,2017,1,Winter,01
A1310744067672,20171-35214-01,35214,2017,1,Winter,01
A1310744067672,20171-41000-81,41000,2017,1,Winter,81
A13792406745,20164-33101-81,33101,2016,4,Autumn,81
A13792406745,20164-34705-01,34705,2016,4,Autumn,01
A13792406745,20164-37000-04,37000,2016,4,Autumn,04
A13792406745,20171-33032-81,33032,2017,1,Winter,81
A13792406745,20171-33040-02,33040,2017,1,Winter,02
A13792406745,20171-40000-02,40000,2017,1,Winter,02
A128303504465,20164-30000-81,30000,2016,4,Autumn,81
A128303504465,20164-30118-81,30118,2016,4,Autumn,81
A128303504465,20164-35000-02,35000,2016,4,Autumn,02
A128303504465,20164-38001-02,38001,2016,4,Autumn,02
A128303504465,20171-30130-02,30130,2017,1,Winter,02
A128303504465,20171-35201-02,35201,2017,1,Winter,02
A128303504465,20171-35214-81,35214,2017,1,Winter,81
A14163219136,20164-30000-05,30000,2016,4,Autumn,05
A14163219136,20164-33001-07,33001,2016,4,Autumn,07
A14163219136,20164-41000-01,41000,2016,4,Autumn,01
A14163219136,20171-30116-01,30116,2017,1,Winter,01
A14163219136,20171-30118-01,30118,2017,1,Winter,01
A14163219136,20171-35000-01,35000,2017,1,Winter,01
A136603479234,20163-30000-81,30000,2016,3,Summer,81
A136603479234,20163-38002-82,38002,2016,3,Summer,82
A136603479234,20164-33101-01,33101,2016,4,Autumn,01
A136603479234,20164-35200-01,35200,2016,4,Autumn,01
A136603479234,20164-38001-02,38001,2016,4,Autumn,02
A136603479234,20164-38103-03,38103,2016,4,Autumn,03
A136603479234,20171-30118-02,30118,2017,1,Winter,02
A136603479234,20171-34106-01,34106,2017,1,Winter,01
A136603479234,20171-40110-02,40110,2017,1,Winter,02
A1369337730,20164-30000-03,30000,2016,4,Autumn,03
A1369337730,20164-33001-06,33001,2016,4,Autumn,06
A1369337730,20164-37101-01,37101,2016,4,Autumn,01
A1369337730,20164-41000-03,41000,2016,4,Autumn,03
A1369337730,20171-37100-01,37100,2017,1,Winter,01
A1369337730,20171-38001-02,38001,2017,1,Winter,02
A1369337730,20171-40000-01,40000,2017,1,Winter,01
A137323234280,20164-30000-03,30000,2016,4,Autumn,03
A137323234280,20164-33101-81,33101,2016,4,Autumn,81
A137323234280,20164-40000-01,40000,2016,4,Autumn,01
A137323234280,20164-41100-03,41100,2016,4,Autumn,03
A137323234280,20171-30130-02,30130,2017,1,Winter,02
A137323234280,20171-35000-01,35000,2017,1,Winter,01
A137323234280,20171-42001-02,42001,2017,1,Winter,02
A137323234280,20171-42117-02,42117,2017,1,Winter,02
A139453283152,20164-30116-01,30116,2016,4,Autumn,01
A139453283152,20164-35901-01,35901,2016,4,Autumn,01
A139453283152,20171-34106-01,34106,2017,1,Winter,01
A139453283152,20171-35000-03,35000,2017,1,Winter,03
A139453283152,20171-41100-01,41100,2017,1,Winter,01
A139453283152,20171-41204-81,41204,2017,1,Winter,81
A138223283420,20164-30000-05,30000,2016,4,Autumn,05
A138223283420,20164-33001-06,33001,2016,4,Autumn,06
A138223283420,20164-41100-04,41100,2016,4,Autumn,04
A138223283420,20171-30116-01,30116,2017,1,Winter,01
A138223283420,20171-30130-01,30130,2017,1,Winter,01
A138223283420,20171-35000-01,35000,2017,1,Winter,01
A148043600310,20164-30000-06,30000,2016,4,Autumn,06
A148043600310,20164-33001-02,33001,2016,4,Autumn,02
A148043600310,20164-41000-05,41000,2016,4,Autumn,05
A148043600310,20171-35000-02,35000,2017,1,Winter,02
A148043600310,20171-37000-01,37000,2017,1,Winter,01
A148043600310,20171-38103-04,38103,2017,1,Winter,04
A15002775150,20164-30000-05,30000,2016,4,Autumn,05
A15002775150,20164-33101-01,33101,2016,4,Autumn,01
A15002775150,20164-41000-03,41000,2016,4,Autumn,03
A15002775150,20171-30130-01,30130,2017,1,Winter,01
A15002775150,20171-33040-02,33040,2017,1,Winter,02
A15002775150,20171-35000-01,35000,2017,1,Winter,01
A15002775150,20171-42001-01,42001,2017,1,Winter,01
A147144200455,20164-30000-07,30000,2016,4,Autumn,07
A147144200455,20164-33001-02,33001,2016,4,Autumn,02
A147144200455,20164-41000-04,41000,2016,4,Autumn,04
A147144200455,20171-30116-01,30116,2017,1,Winter,01
A147144200455,20171-35000-04,35000,2017,1,Winter,04
A147144200455,20171-40000-02,40000,2017,1,Winter,02
A145123550342,20164-33001-04,33001,2016,4,Autumn,04
A145123550342,20164-37000-02,37000,2016,4,Autumn,02
A145123550342,20164-39001-02,39001,2016,4,Autumn,02
A145123550342,20164-41000-04,41000,2016,4,Autumn,04
A145123550342,20171-30000-01,30000,2017,1,Winter,01
A145123550342,20171-37201-01,37201,2017,1,Winter,01
A145123550342,20171-40000-01,40000,2017,1,Winter,01
A14582450021,20164-30000-04,30000,2016,4,Autumn,04
A14582450021,20164-33001-06,33001,2016,4,Autumn,06
A14582450021,20164-42001-03,42001,2016,4,Autumn,03
A14582450021,20171-33040-02,33040,2017,1,Winter,02
A14582450021,20171-37000-01,37000,2017,1,Winter,01
A14582450021,20171-38103-01,38103,2017,1,Winter,01
A145854150306,20164-38001-02,38001,2016,4,Autumn,02
A145854150306,20164-41000-05,41000,2016,4,Autumn,05
A145854150306,20164-42001-02,42001,2016,4,Autumn,02
A145854150306,20171-30118-81,30118,2017,1,Winter,81
A145854150306,20171-38103-03,38103,2017,1,Winter,03
A145854150306,20171-40000-02,40000,2017,1,Winter,02
A147554200268,20164-30000-08,30000,2016,4,Autumn,08
A147554200268,20164-33001-04,33001,2016,4,Autumn,04
A147554200268,20164-41000-04,41000,2016,4,Autumn,04
A156564182574,20164-33001-04,33001,2016,4,Autumn,04
A156564182574,20164-39001-02,39001,2016,4,Autumn,02
A156564182574,20164-41000-04,41000,2016,4,Autumn,04
A156564182574,20171-30001-01,30001,2017,1,Winter,01
A156564182574,20171-37000-02,37000,2017,1,Winter,02
A156564182574,20171-40101-01,40101,2017,1,Winter,01
A155403366294,20164-30116-01,30116,2016,4,Autumn,01
A155403366294,20164-33101-01,33101,2016,4,Autumn,01
A155403366294,20164-41100-03,41100,2016,4,Autumn,03
A155403366294,20171-35201-82,35201,2017,1,Winter,82
A155403366294,20171-35210-02,35210,2017,1,Winter,02
A155403366294,20171-37100-01,37100,2017,1,Winter,01
A16123182144,20164-30116-01,30116,2016,4,Autumn,01
A16123182144,20164-35000-02,35000,2016,4,Autumn,02
A16123182144,20164-41100-03,41100,2016,4,Autumn,03
A16123182144,20171-30130-02,30130,2017,1,Winter,02
A16123182144,20171-38002-01,38002,2017,1,Winter,01
A16123182144,20171-38103-01,38103,2017,1,Winter,01
A16123182144,20171-42001-03,42001,2017,1,Winter,03
A156513468125,20164-30000-08,30000,2016,4,Autumn,08
A156513468125,20164-33001-04,33001,2016,4,Autumn,04
A156513468125,20164-38001-01,38001,2016,4,Autumn,01
A156513468125,20164-41000-03,41000,2016,4,Autumn,03
A156513468125,20171-35000-05,35000,2017,1,Winter,05
A156513468125,20171-37000-02,37000,2017,1,Winter,02
A156513468125,20171-38103-01,38103,2017,1,Winter,01
A156603774406,20164-30000-08,30000,2016,4,Autumn,08
A156603774406,20164-33001-01,33001,2016,4,Autumn,01
A156603774406,20164-41000-04,41000,2016,4,Autumn,04
A156603774406,20171-30118-81,30118,2017,1,Winter,81
A156603774406,20171-35000-02,35000,2017,1,Winter,02
A156603774406,20171-38103-03,38103,2017,1,Winter,03
A156603774406,20171-42001-03,42001,2017,1,Winter,03
A164354524174,20164-30000-03,30000,2016,4,Autumn,03
A164354524174,20164-33001-04,33001,2016,4,Autumn,04
A164354524174,20164-39001-02,39001,2016,4,Autumn,02
A164354524174,20171-37000-01,37000,2017,1,Winter,01
A164354524174,20171-40000-02,40000,2017,1,Winter,02
A164354524174,20171-41100-01,41100,2017,1,Winter,01
A157504233402,20164-30000-06,30000,2016,4,Autumn,06
A157504233402,20164-33001-01,33001,2016,4,Autumn,01
A157504233402,20164-35000-02,35000,2016,4,Autumn,02
A157504233402,20164-41000-81,41000,2016,4,Autumn,81
A157504233402,20171-34111-81,34111,2017,1,Winter,81
A157504233402,20171-38001-01,38001,2017,1,Winter,01
A157504233402,20171-42001-02,42001,2017,1,Winter,02
A1610963900186,20164-30000-04,30000,2016,4,Autumn,04
A1610963900186,20164-33001-01,33001,2016,4,Autumn,01
A1610963900186,20164-41000-02,41000,2016,4,Autumn,02
A1610963900186,20171-35000-04,35000,2017,1,Winter,04
A1610963900186,20171-37201-81,37201,2017,1,Winter,81
A1610963900186,20171-41100-01,41100,2017,1,Winter,01
A168084368119,20164-33001-03,33001,2016,4,Autumn,03
A168084368119,20164-35000-02,35000,2016,4,Autumn,02
A168084368119,20164-41000-03,41000,2016,4,Autumn,03
A168084368119,20171-30118-01,30118,2017,1,Winter,01
A168084368119,20171-35200-01,35200,2017,1,Winter,01
A168084368119,20171-35214-81,35214,2017,1,Winter,81
A159363570430,20164-33001-03,33001,2016,4,Autumn,03
A159363570430,20164-37000-01,37000,2016,4,Autumn,01
A159363570430,20164-38001-01,38001,2016,4,Autumn,01
A159363570430,20171-37201-01,37201,2017,1,Winter,01
